Abby,[5Abi],n.艾比(Abigail 的昵称)(f.)
inspire,[in5spaiE],"vt.吸(气), 鼓舞, 感动, 激发, 启示, 使生灵感, 产生//vi.吸入, 赋予灵感"
institution,[7insti5tju:FEn],"n.公共机构, 协会, 制度"
instruct,[in5strQkt],"vt.教, 教导, 命令, 指示, 通知"
islander,[5ailEndE],n.岛上居民
juice,[dVu:s],"n.(水果)汁, 液"
keep one's promise,[],遵守诺言
key figure,[],关键人物
keyboard,[5ki:bC:d],n.[计] 键盘
kiwi,[5ki:wi:],"n.[鸟]几维(一种新西兰产的无翼鸟), <口> 新西兰人"
lamb,[lAm],"n.小羊, 羔羊//v.生小羊"
laughter,[5lB:ftE],"n.笑, 笑声"
left-handed,[5left5hAndid],"adj.惯用左手的, 用左手的, 笨拙的"
lifetime,[5laiftaim],"n.一生, 终生, 寿命"
lightning,[5laitniN],n.闪电//(“闪电”) 英国第一种超音速喷气式战斗机，英60年代的主力机种。
link,[liNk],"n.链环, 连结物, 火把, 链接//vt.连结, 联合, 挽//vi.连接起来"
lively,[5laivli],"adj.活泼的, 活跃的, 栩栩如生的, 真实的"
living room,[],"n.客厅, 起居室"
local,[5lEukEl],"adj.地方的, 当地的, 局部的, 乡土的//n.当地居民, 本地新闻, 慢车, 局部"
long before,[],很早以前
long-term,[],adj.长期的
look back upon,[],回顾
look into,[],"v.窥视, 浏览, 观察"
make ends meet,[],收支相抵
make up one's mind,[],"v.下决心, 接受, 承认//决定"
marae,[],n.毛利人集会地
maximum,[5mAksimEm],"n.最大量, 最大限度, 极大//adj.最高的, 最多的, 最大极限的"
mourn,[mC:n],"v.哀悼, 忧伤, 服丧"
movie,[5mu:vi],n.电影
needle,[5ni:dl],n.针
nest,[nest],"n.巢, 窝, 休息所, 隐匿处, 舒适的地方, (可以一个套一个的)一套器具//vi.筑巢, 找鸟巢//vt.造巢, 使套入"
network,[5netwE:k],"n.网络, 网状物, 广播网"
non-White,[],adj.非白种的
non-violent,[7nCn5vaiElEnt],a.非暴力的
non-white,[],n.非白种人
nonstop,[5nCn5stCp],adj.不断的
now that,[],既然
obtain,[Eb5tein],"vt.获得, 得到"
once again,[],adv.再一次
once in a while,[],adv.偶尔
one after another,[],adv.接连地
oneself,[wQn5self],"pron.自己, 亲自"
open up,[],"v.展开, 打开, 开发, 揭露, 开始"
oppose,[E5pEuz],"vt.反对, 使对立, 使对抗, 抗争//vi.反对"
or so,[],大约
oxygen,[5CksidVEn],n.[化]氧
patience,[5peiFEns],"n.耐性, 忍耐"
pension,[5penFEn],"n.养老金, 退休金"
photocopier,[5fEutEukCpiE(r):57],n.影印机
photocopying machine,[],影印机
physical,[5fizikEl],"adj.身体的, 物质的, 自然的, 物理的//n.体格检查"
pick out,[],v.挑选
pin,[pin],"n.钉, 销, 栓, 大头针, 别针, 腿//vt.钉住, 别住, 阻止, 扣牢, 止住, 牵制"
possess,[pE5zes],"vt.占有, 拥有, 持有, 摆布, 支配"
prairie,[5prZEri],"n.大草原, 牧场, <美方>林间小空地"
prairie dog,[],n.草原土拨鼠
pray,[prei],"v.祈祷, 恳求, 请"
prayer,[prZE],n.祈祷
preparation,[7prepE5reiFEn],"n.准备, 预备"
prevent,[pri5vent],"v.防止, 预防"
priceless,[5praislis],"adj.无价的, 极贵重的"
